txn_id,customer_id,txn_type,invoice_number,txn_date,due_date,amount,applied_to_invoice,currency,status
TXN-000226,CUST-016,invoice,INV-100139,2025-11-07,2025-11-22,15901.87,,USD,open
TXN-000200,CUST-014,payment,,2025-11-08,,-11350.46,INV-100122,USD,applied
TXN-000010,CUST-001,payment,,2025-11-09,,-29369.28,INV-100005,USD,applied
TXN-000410,CUST-030,credit_memo,,2025-11-09,,-883.86,INV-100250,USD,applied
TXN-000340,CUST-025,invoice,INV-100208,2025-11-10,2026-01-09,18504.87,,USD,open
TXN-000139,CUST-010,invoice,INV-100085,2025-11-10,2025-12-10,14677.76,,USD,open
TXN-000075,CUST-006,payment,,2025-11-10,,-11950.69,INV-100043,USD,applied
TXN-000042,CUST-004,payment,,2025-11-12,,-11495.88,INV-100025,USD,applied
TXN-000029,CUST-003,invoice,INV-100018,2025-11-12,2025-12-12,7555.48,,USD,open
TXN-000403,CUST-029,invoice,INV-100246,2025-11-13,2026-01-12,21034.94,,USD,open
TXN-000046,CUST-004,payment,,2025-11-13,,-35754.86,INV-100027,USD,applied
TXN-000213,CUST-016,invoice,INV-100132,2025-11-13,2025-11-28,2214.78,,USD,open
TXN-000094,CUST-007,invoice,INV-100058,2025-11-13,2025-12-28,65752.5,,USD,open
TXN-000202,CUST-015,invoice,INV-100124,2025-11-13,2025-12-28,6325.72,,USD,open
TXN-000302,CUST-022,payment,,2025-11-14,,-9270.32,INV-100185,USD,applied
TXN-000043,CUST-004,invoice,INV-100026,2025-11-15,2025-12-30,11608.86,,USD,open
TXN-000076,CUST-006,invoice,INV-100044,2025-11-17,2025-12-02,15629.96,,USD,open
TXN-000086,CUST-007,invoice,INV-100051,2025-11-17,2026-01-01,14649.51,,USD,open
TXN-000380,CUST-027,invoice,INV-100232,2025-11-18,2026-01-17,3325.54,,USD,open
TXN-000291,CUST-021,invoice,INV-100179,2025-11-18,2026-01-02,12974.32,,USD,open
TXN-000230,CUST-017,invoice,INV-100141,2025-11-18,2026-01-02,8237.27,,USD,open
TXN-000030,CUST-003,payment,,2025-11-18,,-7555.48,INV-100018,USD,applied
TXN-000261,CUST-018,credit_memo,,2025-11-18,,-922.8,INV-100160,USD,applied
TXN-000106,CUST-008,invoice,INV-100065,2025-11-18,2025-12-18,5383.34,,USD,open
TXN-000277,CUST-020,invoice,INV-100170,2025-11-19,2025-12-19,21648.94,,USD,open
TXN-000349,CUST-025,invoice,INV-100213,2025-11-19,2026-01-18,4232.95,,USD,open
TXN-000121,CUST-009,invoice,INV-100075,2025-11-19,2026-01-18,10290.6,,USD,open
TXN-000227,CUST-016,credit_memo,,2025-11-20,,-3327.47,INV-100139,USD,applied
TXN-000185,CUST-013,invoice,INV-100113,2025-11-21,2026-01-05,21532.2,,USD,open
TXN-000003,CUST-001,invoice,INV-100002,2025-11-21,2026-01-05,36772.06,,USD,open
TXN-000070,CUST-005,payment,,2025-11-21,,-3369.09,INV-100040,USD,applied
TXN-000085,CUST-007,invoice,INV-100050,2025-11-22,2026-01-06,16261.74,,USD,open
TXN-000264,CUST-019,invoice,INV-100162,2025-11-22,2025-12-07,6424.82,,USD,open
TXN-000104,CUST-008,invoice,INV-100064,2025-11-22,2025-12-22,8510.14,,USD,open
TXN-000016,CUST-002,invoice,INV-100010,2025-11-22,2026-01-21,3694.44,,USD,open
TXN-000044,CUST-004,payment,,2025-11-22,,-11608.86,INV-100026,USD,applied
TXN-000095,CUST-007,payment,,2025-11-22,,-65752.5,INV-100058,USD,applied
TXN-000188,CUST-013,invoice,INV-100115,2025-11-23,2026-01-07,18603.82,,USD,open
TXN-000136,CUST-010,invoice,INV-100083,2025-11-23,2025-12-23,17322.05,,USD,open
TXN-000119,CUST-009,invoice,INV-100073,2025-11-23,2026-01-22,67364.81,,USD,open
TXN-000307,CUST-022,invoice,INV-100188,2025-11-24,2026-01-08,21304.79,,USD,open
TXN-000211,CUST-015,invoice,INV-100130,2025-11-24,2026-01-08,17351.83,,USD,open
TXN-000332,CUST-024,invoice,INV-100204,2025-11-24,2025-12-09,19462.84,,USD,open
TXN-000065,CUST-005,invoice,INV-100038,2025-11-24,2025-12-09,19538.52,,USD,open
TXN-000111,CUST-009,payment,,2025-11-24,,-3889.95,INV-100068,USD,applied
TXN-000037,CUST-003,invoice,INV-100023,2025-11-25,2025-12-25,12937.58,,USD,open
TXN-000321,CUST-023,invoice,INV-100197,2025-11-26,2026-01-25,5662.89,,USD,open
TXN-000203,CUST-015,payment,,2025-11-26,,-6325.72,INV-100124,USD,applied
TXN-000025,CUST-002,credit_memo,,2025-11-27,,-1679.29,INV-100015,USD,applied
TXN-000341,CUST-025,payment,,2025-11-30,,-5951.82,INV-100208,USD,applied
TXN-000101,CUST-008,invoice,INV-100062,2025-11-30,2025-12-30,11108.22,,USD,open
TXN-000324,CUST-024,invoice,INV-100199,2025-11-30,2025-12-15,21721.38,,USD,open
TXN-000140,CUST-010,payment,,2025-12-01,,-14677.76,INV-100085,USD,applied
TXN-000214,CUST-016,payment,,2025-12-01,,-2214.78,INV-100132,USD,applied
TXN-000107,CUST-008,invoice,INV-100066,2025-12-01,2025-12-31,4119.5,,USD,open
TXN-000053,CUST-004,invoice,INV-100031,2025-12-02,2026-01-16,6363.33,,USD,open
TXN-000077,CUST-006,payment,,2025-12-03,,-15629.96,INV-100044,USD,applied
TXN-000366,CUST-026,payment,,2025-12-03,,-2354.74,INV-100223,USD,applied
TXN-000129,CUST-010,payment,,2025-12-03,,-5426.24,INV-100079,USD,applied
TXN-000258,CUST-018,invoice,INV-100159,2025-12-05,2026-01-04,9411.3,,USD,open
TXN-000105,CUST-008,payment,,2025-12-05,,-8510.14,INV-100064,USD,applied
TXN-000240,CUST-017,payment,,2025-12-06,,-48422.67,INV-100148,USD,applied
TXN-000265,CUST-019,payment,,2025-12-06,,-4329.03,INV-100162,USD,applied
TXN-000312,CUST-022,payment,,2025-12-06,,-14180.2,INV-100190,USD,applied
TXN-000278,CUST-020,payment,,2025-12-07,,-21648.94,INV-100170,USD,applied
TXN-000122,CUST-009,payment,,2025-12-09,,-5678.5,INV-100075,USD,applied
TXN-000007,CUST-001,invoice,INV-100004,2025-12-09,2026-01-23,3488.19,,USD,open
TXN-000243,CUST-017,invoice,INV-100150,2025-12-09,2026-01-23,16144.78,,USD,open
TXN-000368,CUST-026,payment,,2025-12-10,,-4198.01,INV-100224,USD,applied
TXN-000014,CUST-002,invoice,INV-100009,2025-12-11,2026-02-09,18409.66,,USD,open
TXN-000215,CUST-016,invoice,INV-100133,2025-12-11,2025-12-26,11714.2,,USD,open
TXN-000126,CUST-009,invoice,INV-100078,2025-12-12,2026-02-10,11422.3,,USD,open
TXN-000058,CUST-005,invoice,INV-100034,2025-12-12,2025-12-27,10428.26,,USD,open
TXN-000112,CUST-009,invoice,INV-100069,2025-12-14,2026-02-12,15337.12,,USD,open
TXN-000004,CUST-001,payment,,2025-12-15,,-9618.56,INV-100002,USD,applied
TXN-000381,CUST-027,invoice,INV-100233,2025-12-15,2026-02-13,11112.09,,USD,open
TXN-000114,CUST-009,invoice,INV-100070,2025-12-15,2026-02-13,10938.2,,USD,open
TXN-000363,CUST-026,invoice,INV-100222,2025-12-15,2026-02-13,3325.11,,USD,open
TXN-000159,CUST-012,invoice,INV-100098,2025-12-16,2026-01-30,20545.93,,USD,open
TXN-000204,CUST-015,invoice,INV-100125,2025-12-17,2026-01-31,8871.21,,USD,open
TXN-000059,CUST-005,payment,,2025-12-17,,-10428.26,INV-100034,USD,applied
TXN-000411,CUST-030,invoice,INV-100251,2025-12-18,2026-01-17,7637.61,,USD,open
TXN-000026,CUST-002,invoice,INV-100016,2025-12-19,2026-02-17,5428.72,,USD,open
TXN-000354,CUST-025,invoice,INV-100216,2025-12-19,2026-02-17,54744.5,,USD,open
TXN-000350,CUST-025,payment,,2025-12-20,,-2573.71,INV-100213,USD,applied
TXN-000127,CUST-009,payment,,2025-12-21,,-2948.06,INV-100078,USD,applied
TXN-000189,CUST-014,invoice,INV-100116,2025-12-22,2026-01-21,4701.34,,USD,open
TXN-000290,CUST-021,invoice,INV-100178,2025-12-22,2026-02-05,2827.19,,USD,open
TXN-000218,CUST-016,invoice,INV-100135,2025-12-22,2026-01-06,10581.86,,USD,open
TXN-000305,CUST-022,invoice,INV-100187,2025-12-22,2026-02-05,15983.87,,USD,open
TXN-000137,CUST-010,payment,,2025-12-23,,-17322.05,INV-100083,USD,applied
TXN-000040,CUST-004,payment,,2025-12-24,,-2901.13,INV-100024,USD,applied
TXN-000382,CUST-027,invoice,INV-100234,2025-12-25,2026-02-23,21351.15,,USD,open
TXN-000325,CUST-024,payment,,2025-12-25,,-21721.38,INV-100199,USD,applied
TXN-000008,CUST-001,payment,,2025-12-25,,-1362.61,INV-100004,USD,applied
TXN-000358,CUST-026,invoice,INV-100219,2025-12-27,2026-02-25,581.69,,USD,open
TXN-000219,CUST-016,payment,,2025-12-28,,-4258.69,INV-100135,USD,applied
TXN-000216,CUST-016,payment,,2025-12-29,,-11714.2,INV-100133,USD,applied
TXN-000395,CUST-028,invoice,INV-100241,2025-12-29,2026-01-13,72220.27,,USD,open
TXN-000013,CUST-001,invoice,INV-100008,2026-01-01,2026-02-15,10143.71,,USD,open
TXN-000344,CUST-025,invoice,INV-100210,2026-01-01,2026-03-02,72415.52,,USD,open
TXN-000417,CUST-030,invoice,INV-100254,2026-01-03,2026-02-02,13904.87,,USD,open
TXN-000352,CUST-025,invoice,INV-100215,2026-01-03,2026-03-04,18488.89,,USD,open
TXN-000292,CUST-021,payment,,2026-01-03,,-12974.32,INV-100179,USD,applied
TXN-000113,CUST-009,payment,,2026-01-04,,-15337.12,INV-100069,USD,applied
TXN-000102,CUST-008,payment,,2026-01-04,,-11108.22,INV-100062,USD,applied
TXN-000399,CUST-028,invoice,INV-100243,2026-01-05,2026-01-20,17082.75,,USD,open
TXN-000051,CUST-004,invoice,INV-100030,2026-01-07,2026-02-21,10807.26,,USD,open
TXN-000132,CUST-010,invoice,INV-100081,2026-01-08,2026-02-07,20509.48,,USD,open
TXN-000152,CUST-011,invoice,INV-100093,2026-01-08,2026-02-22,20281.26,,USD,open
TXN-000134,CUST-010,invoice,INV-100082,2026-01-08,2026-02-07,4901.35,,USD,open
TXN-000190,CUST-014,payment,,2026-01-09,,-4701.34,INV-100116,USD,applied
TXN-000259,CUST-018,payment,,2026-01-10,,-9411.3,INV-100159,USD,applied
TXN-000360,CUST-026,invoice,INV-100220,2026-01-11,2026-03-12,62982.7,,USD,open
TXN-000217,CUST-016,invoice,INV-100134,2026-01-11,2026-01-26,16140.54,,USD,open
TXN-000255,CUST-018,invoice,INV-100157,2026-01-11,2026-02-10,9361.49,,USD,open
TXN-000138,CUST-010,invoice,INV-100084,2026-01-11,2026-02-10,19900.55,,USD,open
TXN-000288,CUST-021,invoice,INV-100177,2026-01-12,2026-02-26,732.87,,USD,open
TXN-000228,CUST-017,invoice,INV-100140,2026-01-13,2026-02-27,20233.83,,USD,open
TXN-000285,CUST-020,writeoff,,2026-01-13,,-3474.53,INV-100174,USD,written_off
TXN-000316,CUST-023,credit_memo,,2026-01-13,,-4183.67,INV-100192,USD,applied
TXN-000364,CUST-026,payment,,2026-01-14,,-3325.11,INV-100222,USD,applied
TXN-000279,CUST-020,invoice,INV-100171,2026-01-14,2026-02-13,10529.69,,USD,open
TXN-000404,CUST-029,credit_memo,,2026-01-15,,-2551.77,INV-100246,USD,applied
TXN-000028,CUST-003,invoice,INV-100017,2026-01-15,2026-02-14,8673.15,,USD,open
TXN-000347,CUST-025,invoice,INV-100212,2026-01-16,2026-03-17,4188.39,,USD,open
TXN-000245,CUST-018,invoice,INV-100151,2026-01-17,2026-02-16,14667.68,,USD,open
TXN-000177,CUST-013,writeoff,,2026-01-17,,-6124.73,INV-100108,USD,written_off
TXN-000412,CUST-030,payment,,2026-01-19,,-7637.61,INV-100251,USD,applied
TXN-000383,CUST-027,payment,,2026-01-22,,-21351.15,INV-100234,USD,applied
TXN-000035,CUST-003,invoice,INV-100022,2026-01-23,2026-02-22,21806.64,,USD,open
TXN-000396,CUST-028,payment,,2026-01-23,,-72220.27,INV-100241,USD,applied
TXN-000054,CUST-004,payment,,2026-01-24,,-2841.48,INV-100031,USD,applied
TXN-000334,CUST-024,invoice,INV-100205,2026-01-25,2026-02-09,6835.93,,USD,open
TXN-000133,CUST-010,payment,,2026-01-25,,-10311.29,INV-100081,USD,applied
TXN-000244,CUST-017,payment,,2026-01-27,,-8963.92,INV-100150,USD,applied
TXN-000273,CUST-019,invoice,INV-100168,2026-01-27,2026-02-11,19958.23,,USD,open
TXN-000210,CUST-015,invoice,INV-100129,2026-01-28,2026-03-14,16516.02,,USD,open
TXN-000262,CUST-019,invoice,INV-100161,2026-01-28,2026-02-12,15176.22,,USD,open
TXN-000142,CUST-011,invoice,INV-100087,2026-01-29,2026-03-15,18736.68,,USD,open
TXN-000280,CUST-020,payment,,2026-01-30,,-5802.33,INV-100171,USD,applied
TXN-000205,CUST-015,payment,,2026-01-30,,-8871.21,INV-100125,USD,applied
TXN-000096,CUST-008,invoice,INV-100059,2026-01-31,2026-03-02,16692.84,,USD,open
TXN-000401,CUST-029,invoice,INV-100244,2026-01-31,2026-04-01,13680.82,,USD,open
TXN-000017,CUST-002,payment,,2026-01-31,,-1581.01,INV-100010,USD,applied
TXN-000166,CUST-012,invoice,INV-100103,2026-02-03,2026-03-20,13030.22,,USD,open
TXN-000348,CUST-025,payment,,2026-02-03,,-4188.39,INV-100212,USD,applied
TXN-000400,CUST-028,payment,,2026-02-04,,-8886.31,INV-100243,USD,applied
TXN-000209,CUST-015,writeoff,,2026-02-04,,-17339.97,INV-100128,USD,written_off
TXN-000117,CUST-009,invoice,INV-100072,2026-02-05,2026-04-06,10728.07,,USD,open
TXN-000072,CUST-005,invoice,INV-100042,2026-02-05,2026-02-20,7315.08,,USD,open
TXN-000333,CUST-024,writeoff,,2026-02-05,,-19462.84,INV-100204,USD,written_off
TXN-000056,CUST-005,invoice,INV-100033,2026-02-05,2026-02-20,11957.93,,USD,open
TXN-000160,CUST-012,payment,,2026-02-05,,-11984.46,INV-100098,USD,applied
TXN-000157,CUST-012,invoice,INV-100097,2026-02-06,2026-03-23,15873.92,,USD,open
TXN-000135,CUST-010,payment,,2026-02-06,,-1345.05,INV-100082,USD,applied
TXN-000289,CUST-021,payment,,2026-02-07,,-732.87,INV-100177,USD,applied
TXN-000246,CUST-018,payment,,2026-02-07,,-14667.68,INV-100151,USD,applied
TXN-000294,CUST-021,writeoff,,2026-02-07,,-12557.76,INV-100180,USD,written_off
TXN-000263,CUST-019,payment,,2026-02-08,,-15176.22,INV-100161,USD,applied
TXN-000353,CUST-025,payment,,2026-02-09,,-12540.66,INV-100215,USD,applied
TXN-000052,CUST-004,payment,,2026-02-09,,-10807.26,INV-100030,USD,applied
TXN-000359,CUST-026,payment,,2026-02-09,,-581.69,INV-100219,USD,applied
TXN-000066,CUST-005,writeoff,,2026-02-10,,-19538.52,INV-100038,USD,written_off
TXN-000073,CUST-005,payment,,2026-02-11,,-7315.08,INV-100042,USD,applied
TXN-000335,CUST-024,payment,,2026-02-11,,-6835.93,INV-100205,USD,applied
TXN-000356,CUST-026,invoice,INV-100218,2026-02-12,2026-04-13,15764.41,,USD,open
TXN-000274,CUST-019,payment,,2026-02-12,,-6517.38,INV-100168,USD,applied
TXN-000345,CUST-025,payment,,2026-02-13,,-48076.22,INV-100210,USD,applied
TXN-000012,CUST-001,invoice,INV-100007,2026-02-13,2026-03-30,12473.53,,USD,open
TXN-000423,CUST-033,invoice,INV-100259,2026-02-15,2026-04-01,15250.0,,USD,open
TXN-000317,CUST-023,invoice,INV-100193,2026-02-16,2026-04-17,37785.9,,USD,open
TXN-000097,CUST-008,payment,,2026-02-16,,-16692.84,INV-100059,USD,applied
TXN-000295,CUST-021,invoice,INV-100181,2026-02-16,2026-04-02,17127.45,,USD,open
TXN-000250,CUST-018,invoice,INV-100154,2026-02-17,2026-03-19,10930.15,,USD,open
TXN-000281,CUST-020,invoice,INV-100172,2026-02-17,2026-03-19,6654.13,,USD,open
TXN-000372,CUST-027,invoice,INV-100227,2026-02-19,2026-04-20,4527.62,,USD,open
TXN-000084,CUST-007,invoice,INV-100049,2026-02-20,2026-04-06,11378.92,,USD,open
TXN-000432,CUST-037,invoice,INV-100263,2026-02-20,2026-03-22,15000.0,,USD,open
TXN-000153,CUST-011,payment,,2026-02-20,,-20281.26,INV-100093,USD,applied
TXN-000361,CUST-026,payment,,2026-02-21,,-26353.2,INV-100220,USD,applied
TXN-000394,CUST-028,invoice,INV-100240,2026-02-21,2026-03-08,4857.19,,USD,open
TXN-000415,CUST-030,invoice,INV-100253,2026-02-21,2026-03-23,824.27,,USD,open
TXN-000267,CUST-019,invoice,INV-100164,2026-02-22,2026-03-09,19538.43,,USD,open
TXN-000167,CUST-012,payment,,2026-02-23,,-13030.22,INV-100103,USD,applied
TXN-000163,CUST-012,invoice,INV-100101,2026-02-24,2026-04-10,12647.02,,USD,open
TXN-000386,CUST-028,invoice,INV-100236,2026-02-24,2026-03-11,21091.93,,USD,open
TXN-000022,CUST-002,invoice,INV-100014,2026-02-25,2026-04-26,3968.07,,USD,open
TXN-000061,CUST-005,invoice,INV-100036,2026-02-25,2026-03-12,13832.58,,USD,open
TXN-000125,CUST-009,invoice,INV-100077,2026-02-25,2026-04-26,7183.91,,USD,open
TXN-000174,CUST-013,invoice,INV-100107,2026-02-26,2026-04-12,7248.1,,USD,open
TXN-000191,CUST-014,invoice,INV-100117,2026-02-26,2026-03-28,21250.57,,USD,open
TXN-000282,CUST-020,credit_memo,,2026-02-27,,-1145.28,INV-100172,USD,applied
TXN-000067,CUST-005,invoice,INV-100039,2026-02-27,2026-03-14,10147.16,,USD,open
TXN-000198,CUST-014,invoice,INV-100121,2026-02-27,2026-03-29,7357.62,,USD,open
TXN-000036,CUST-003,payment,,2026-02-28,,-7101.53,INV-100022,USD,applied
TXN-000057,CUST-005,payment,,2026-02-28,,-11957.93,INV-100033,USD,applied
TXN-000329,CUST-024,invoice,INV-100202,2026-03-02,2026-03-17,3774.55,,USD,open
TXN-000062,CUST-005,payment,,2026-03-02,,-13832.58,INV-100036,USD,applied
TXN-000422,CUST-032,invoice,INV-100258,2026-03-02,2026-05-01,8400.0,,USD,open
TXN-000322,CUST-024,invoice,INV-100198,2026-03-04,2026-03-19,6697.01,,USD,open
TXN-000144,CUST-011,invoice,INV-100088,2026-03-05,2026-04-19,16210.97,,USD,open
TXN-000083,CUST-006,invoice,INV-100048,2026-03-06,2026-03-21,19044.71,,USD,open
TXN-000338,CUST-025,invoice,INV-100207,2026-03-09,2026-05-08,670.54,,USD,open
TXN-000175,CUST-013,payment,,2026-03-09,,-3806.4,INV-100107,USD,applied
TXN-000068,CUST-005,payment,,2026-03-09,,-6705.14,INV-100039,USD,applied
TXN-000330,CUST-024,payment,,2026-03-11,,-2089.52,INV-100202,USD,applied
TXN-000308,CUST-022,writeoff,,2026-03-12,,-21304.79,INV-100188,USD,written_off
TXN-000426,CUST-035,invoice,INV-100260,2026-03-12,2026-05-11,6000.0,,USD,open
TXN-000373,CUST-027,payment,,2026-03-14,,-4527.62,INV-100227,USD,applied
TXN-000015,CUST-002,writeoff,,2026-03-14,,-18409.66,INV-100009,USD,written_off
TXN-000082,CUST-006,invoice,INV-100047,2026-03-14,2026-03-29,21389.15,,USD,open
TXN-000158,CUST-012,payment,,2026-03-14,,-15873.92,INV-100097,USD,applied
TXN-000416,CUST-030,payment,,2026-03-14,,-824.27,INV-100253,USD,applied
TXN-000387,CUST-028,payment,,2026-03-15,,-10374.68,INV-100236,USD,applied
TXN-000149,CUST-011,invoice,INV-100091,2026-03-15,2026-04-29,7443.25,,USD,open
TXN-000145,CUST-011,payment,,2026-03-15,,-16210.97,INV-100088,USD,applied
TXN-000019,CUST-002,invoice,INV-100012,2026-03-16,2026-05-15,11217.38,,USD,open
TXN-000178,CUST-013,invoice,INV-100109,2026-03-17,2026-05-01,16403.57,,USD,open
TXN-000313,CUST-022,invoice,INV-100191,2026-03-17,2026-05-01,80906.27,,USD,open
TXN-000089,CUST-007,invoice,INV-100054,2026-03-18,2026-05-02,9250.72,,USD,open
TXN-000222,CUST-016,invoice,INV-100137,2026-03-18,2026-04-02,10177.68,,USD,open
TXN-000038,CUST-003,writeoff,,2026-03-18,,-12937.58,INV-100023,USD,written_off
TXN-000306,CUST-022,writeoff,,2026-03-19,,-15983.87,INV-100187,USD,written_off
TXN-000296,CUST-021,payment,,2026-03-19,,-9041.57,INV-100181,USD,applied
TXN-000236,CUST-017,invoice,INV-100146,2026-03-20,2026-05-04,17324.74,,USD,open
TXN-000247,CUST-018,invoice,INV-100152,2026-03-21,2026-04-20,16595.49,,USD,open
TXN-000148,CUST-011,invoice,INV-100090,2026-03-21,2026-05-05,18179.6,,USD,open
TXN-000268,CUST-019,credit_memo,,2026-03-22,,-3559.27,INV-100164,USD,applied
TXN-000434,CUST-038,invoice,INV-100264,2026-03-22,2026-04-21,7500.0,,USD,paid
TXN-000253,CUST-018,invoice,INV-100156,2026-03-22,2026-04-21,21589.27,,USD,open
TXN-000427,CUST-035,invoice,INV-100261,2026-03-22,2026-05-21,9000.0,,USD,open
TXN-000271,CUST-019,invoice,INV-100167,2026-03-23,2026-04-07,59398.55,,USD,open
TXN-000047,CUST-004,invoice,INV-100028,2026-03-23,2026-05-07,19526.68,,USD,open
TXN-000186,CUST-013,invoice,INV-100114,2026-03-23,2026-05-07,14268.95,,USD,open
TXN-000357,CUST-026,payment,,2026-03-24,,-15764.41,INV-100218,USD,applied
TXN-000303,CUST-022,invoice,INV-100186,2026-03-25,2026-05-09,15602.81,,USD,open
TXN-000223,CUST-016,payment,,2026-03-25,,-3972.47,INV-100137,USD,applied
TXN-000413,CUST-030,invoice,INV-100252,2026-03-25,2026-04-24,756.96,,USD,open
TXN-000063,CUST-005,invoice,INV-100037,2026-03-26,2026-04-10,3553.29,,USD,open
TXN-000118,CUST-009,payment,,2026-03-28,,-5641.31,INV-100072,USD,applied
TXN-000251,CUST-018,payment,,2026-03-29,,-5659.79,INV-100154,USD,applied
TXN-000331,CUST-024,invoice,INV-100203,2026-03-30,2026-04-14,4826.01,,USD,open
TXN-000212,CUST-015,invoice,INV-100131,2026-03-31,2026-05-15,14577.0,,USD,open
TXN-000164,CUST-012,payment,,2026-04-01,,-5933.62,INV-100101,USD,applied
TXN-000115,CUST-009,invoice,INV-100071,2026-04-01,2026-05-31,19000.33,,USD,open
TXN-000183,CUST-013,invoice,INV-100112,2026-04-01,2026-05-16,6160.13,,USD,open
TXN-000323,CUST-024,credit_memo,,2026-04-01,,-1446.76,INV-100198,USD,applied
TXN-000196,CUST-014,invoice,INV-100120,2026-04-02,2026-05-02,18840.49,,USD,open
TXN-000304,CUST-022,payment,,2026-04-02,,-15602.81,INV-100186,USD,applied
TXN-000023,CUST-002,payment,,2026-04-03,,-1169.4,INV-100014,USD,applied
TXN-000192,CUST-014,payment,,2026-04-04,,-21250.57,INV-100117,USD,applied
TXN-000314,CUST-022,payment,,2026-04-04,,-80906.27,INV-100191,USD,applied
TXN-000156,CUST-012,invoice,INV-100096,2026-04-08,2026-05-23,757.41,,USD,open
TXN-000272,CUST-019,payment,,2026-04-09,,-40391.05,INV-100167,USD,applied
TXN-000254,CUST-018,payment,,2026-04-11,,-8275.26,INV-100156,USD,applied
TXN-000299,CUST-021,invoice,INV-100184,2026-04-12,2026-05-27,6814.77,,USD,open
